mfa_id,mfa_name,iso_a3
16,Афганистан,AFG
6,Австралия,AUS
7,Австрия,AUT
8,Азербайджан,AZE
9,Албания,ALB
10,Алжир,DZA
11,Ангола,AGO
13,Антигуа и Барбуда,ATG
14,Аржентина,ARG
15,Армения,ARM
12,Андора,AND
17,Бангладеш,BGD
18,Барбадос,BRB
19,Бахамски острови,BHS
20,Бахрейн,BHR
21,Беларус,BLR
22,Белгия,BEL
23,Белиз,BLZ
24,Бенин,BEN
25,Боливия,BOL
26,Босна и Херцеговина,BIH
27,Ботсвана,BWA
28,Бразилия,BRA
29,Бруней,BRN
30,Буркина Фасо,BFA
31,Бурунди,BDI
32,Бутан,BTN
34,Вануату,VUT
33,Ватикан,VAT
2,Великобритания,GBR
35,Венецуела,VEN
36,Виетнам,VNM
37,Габон,GAB
38,Гамбия,GMB
39,Гана,GHA
40,Гватемала,GTM
53,Екваториална Гвинея,GNQ
41,Гвиана,GUY
42,Гвинея,GIN
184,Гвинея Бисау,GNB
43,Германия,DEU
44,Гренада,GRD
45,Грузия,GEO
46,Гърция,GRC
47,Дания,DNK
185,Джибути,DJI
49,Доминика,DMA
50,Доминиканска република,DOM
51,Египет,EGY
54,Ел Салвадор,SLV
52,Еквадор,ECU
55,Еритрея,ERI
56,Естония,EST
57,Етиопия,ETH
58,Замбия,ZMB
59,Зимбабве,ZWE
60,Израел,ISR
62,Индия,IND
63,Индонезия,IDN
65,Иран,IRN
64,Ирак,IRQ
66,Ирландия,IRL
67,Исландия,ISL
68,Испания,ESP
69,Италия,ITA
70,Йемен,YEM
71,Йордания,JOR
212,Кабо Верде,CPV
72,Казахстан,KAZ
73,Камбоджа,KHM
74,Камерун,CMR
75,Канада,CAN
76,Катар,QAT
77,Кения,KEN
78,Кипър,CYP
79,Киргизстан,KGZ
80,Китай,CHN
80,Китай,CS-KM
80,Китай,HKG
81,Колумбия,COL
82,Коморски острови,COM
211,Република Конго,COG
48,Конго,COD
135,Корейска народно-демократична република,PRK
175,Корея,KOR
83,Коста Рика,CRI
179,Косово,XK
84,Кот д'Ивоар,CIV
85,Куба,CUB
86,Кувейт,KWT
87,Лаос,LAO
93,Латвия,LVA
89,Лесото,LSO
90,Либерия,LBR
91,Либия,LBY
92,Ливан,LBN
88,Литва,LTU
94,Лихтенщайн,LIE
95,Люксембург,LUX
96,Мавритания,MRT
97,Мавриций,MUS
98,Мадагаскар,MDG
99,Македония,MKD
100,Малави,MWI
101,Малайзия,MYS
102,Малдиви,MDV
103,Мали,MLI
104,Малта,MLT
105,Мароко,MAR
106,Мексико,MEX
196,Мианмар,MMR
107,Мозамбик,MOZ
108,Молдова,MDA
109,Монако,MCO
110,Монголия,MNG
111,Намибия,NAM
112,Непал,NPL
113,Нигер,NER
114,Нигерия,NGA
116,Никарагуа,NIC
117,Нова Зеландия,NZL
118,Норвегия,NOR
119,Обединени арабски емирства,ARE
121,Оман,OMN
122,Пакистан,PAK
181,Палестинска власт,PSE
123,Панама,PNG
207,Папуа Нова Гвинея,PNG
125,Парагвай,PRY
126,Перу,PER
127,Полша,POL
128,Португалия,PRT
188,Пуерто Рико,PRI
130,Руанда,RWA
131,Румъния,ROU
132,Русия,RUS
133,Сан Марино,SMR
189,Сао Томе и Принсипи,STP
134,Саудитска Арабия,SAU
143,САЩ,USA
190,Свазиленд,SWZ
191,Сейшелски острови,SYC
136,Сенегал,SEN
137,Сиера Леоне,SLE
138,Сингапур,SGP
139,Сирия,SYR
140,Словакия,SVK
180,Словения,SVN
141,Сомалия,SOM
142,Судан,SDN
192,Суринам,SUR
144,Сърбия,SRB
145,Таджикистан,TJK
147,Танзания,TZA
197,Тайван,TWN
146,Тайланд,THA
61,Източен Тимор,TLS
148,Того,TGO
149,Тонга,TON
150,Тринидад и Тобаго,TTO
151,Тунис,TUN
152,Туркменистан,TKM
153,Турция,TUR
154,Уганда,UGA
155,Узбекистан,UZB
156,Украйна,UKR
157,Унгария,HUN
158,Уругвай,URY
159,Фиджи,FJI
160,Филипини,PHL
161,Финландия,FIN
162,Франция,FRA
163,Хаити,HTI
115,Нидерландия,NLD
164,Хондурас,HND
165,Хърватия,HRV
166,Централноафриканска Република,CAF
167,Чад,TCD
169,Черна гора,MNE
168,Чехия,CZE
170,Чили,CHL
171,Швейцария,CHE
172,Швеция,SWE
173,Шри Ланка,LKA
174,Южна Африка,ZAF
177,Ямайка,JAM
178,Япония,JPN
183,Вирджински острови,VIR
186,Аруба,ABW
187,Кайманови острови,CYM
124,Френска Гвиана,GUF
176,Южен Судан,SSD
213,Суверенен Малтийски орден,
