iso_a3,status,url
AFG,4,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=16
AUS,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=6
AUT,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=7
AZE,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=8
ALB,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=9
DZA,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=10
AGO,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=11
ATG,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=13
ARG,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=14
ARM,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=15
AND,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=12
BGD,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=17
BRB,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=18
BHS,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=19
BHR,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=20
BLR,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=21
BEL,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=22
BLZ,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=23
BEN,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=24
BOL,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=25
BIH,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=26
BWA,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=27
BRA,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=28
BRN,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=29
BFA,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=30
BDI,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=31
BTN,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=32
VUT,-1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=34
VAT,-1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=33
GBR,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=2
VEN,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=35
VNM,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=36
GAB,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=37
GMB,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=38
GHA,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=39
GTM,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=40
GNQ,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=53
GUY,-1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=41
GIN,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=42
GNB,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=184
DEU,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=43
GRD,-1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=44
GEO,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=45
GRC,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=46
DNK,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=47
DJI,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=185
DMA,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=49
DOM,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=50
EGY,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=51
SLV,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=54
ECU,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=52
ERI,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=55
EST,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=56
ETH,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=57
ZMB,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=58
ZWE,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=59
ISR,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=60
IND,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=62
IDN,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=63
IRN,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=65
IRQ,4,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=64
IRL,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=66
ISL,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=67
ESP,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=68
ITA,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=69
YEM,5,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=70
JOR,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=71
CPV,-1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=212
KAZ,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=72
KHM,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=73
CMR,4,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=74
CAN,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=75
QAT,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=76
KEN,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=77
CYP,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=78
KGZ,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=79
CHN,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=80
CS-KM,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=80
HKG,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=80
COL,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=81
COM,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=82
COG,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=211
COD,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=48
PRK,4,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=135
KOR,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=175
CRI,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=83
XK,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=179
CIV,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=84
CUB,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=85
KWT,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=86
LAO,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=87
LVA,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=93
LSO,-1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=89
LBR,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=90
LBY,5,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=91
LBN,4,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=92
LTU,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=88
LIE,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=94
LUX,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=95
MRT,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=96
MUS,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=97
MDG,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=98
MKD,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=99
MWI,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=100
MYS,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=101
MDV,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=102
MLI,4,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=103
MLT,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=104
MAR,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=105
MEX,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=106
MMR,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=196
MOZ,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=107
MDA,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=108
MCO,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=109
MNG,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=110
NAM,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=111
NPL,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=112
NER,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=113
NGA,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=114
NIC,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=116
NZL,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=117
NOR,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=118
ARE,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=119
OMN,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=121
PAK,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=122
PSE,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=181
PNG,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=123
PNG,-1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=207
PRY,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=125
PER,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=126
POL,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=127
PRT,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=128
PRI,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=188
RWA,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=130
ROU,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=131
RUS,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=132
SMR,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=133
STP,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=189
SAU,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=134
USA,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=143
SWZ,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=190
SYC,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=191
SEN,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=136
SLE,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=137
SGP,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=138
SYR,5,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=139
SVK,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=140
SVN,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=180
SOM,4,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=141
SDN,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=142
SUR,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=192
SRB,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=144
TJK,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=145
TZA,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=147
TWN,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=197
THA,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=146
TLS,-1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=61
TGO,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=148
TON,-1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=149
TTO,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=150
TUN,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=151
TKM,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=152
TUR,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=153
UGA,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=154
UZB,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=155
UKR,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=156
HUN,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=157
URY,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=158
FJI,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=159
PHL,3,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=160
FIN,1,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=161
FRA,2,http://www.mfa.bg/index.php?page=120&staticpage=findanembassy&posolstvo=162
