mfa_name,is_without_visa,name,iso_n,iso_a3,iso_a1,iso_2,is_id_card_only,notes
Афганистан,0,Афганистан,4,AFG,AF,ISO 3166-2:AF,0,
Австралия,0,Австралия,36,AUS,AU,ISO 3166-2:AU,0,
Австрия,1,Австрия,40,AUT,AT,ISO 3166-2:AT,1,
Азербайджан,0,Азербайджан,31,AZE,AZ,ISO 3166-2:AZ,0,
Албания,1,Албания,8,ALB,AL,ISO 3166-2:AL,1,Заплаща се входна такса от 10 евро на границата.
Алжир,0,Алжир,12,DZA,DZ,ISO 3166-2:DZ,0,
Ангола,0,Ангола,24,AGO,AO,ISO 3166-2:AO,0,
Антигуа и Барбуда,1,Антигуа и Барбуда,28,ATG,AG,ISO 3166-2:AG,0,
Аржентина,1,Аржентина,32,ARG,AR,ISO 3166-2:AR,0,
Армения,1,Армения,51,ARM,AM,ISO 3166-2:AM,0,От 10.01.2013 г. влиза в сила безвизов режим за престой от 180 дни в рамките на една година (360 дни).
Андора,1,Андора,20,AND,AD,ISO 3166-2:AD,0,
Бангладеш,0,Бангладеш,50,BGD,BD,ISO 3166-2:BD,0,
Барбадос,1,Барбадос,52,BRB,BB,ISO 3166-2:BB,0,
Бахамски острови,1,Бахамски острови,44,BHS,BS,ISO 3166-2:BS,0,
Бахрейн,0,Бахрейн,48,BHR,BH,ISO 3166-2:BH,0,
Беларус,0,Беларус,112,BLR,BY,ISO 3166-2:BY,0,
Белгия,1,Белгия,56,BEL,BE,ISO 3166-2:BE,1,
Белиз,1,Белиз,84,BLZ,BZ,ISO 3166-2:BZ,0,Без виза до 30 дни.
Бенин,0,Бенин,204,BEN,BJ,ISO 3166-2:BJ,0,
Боливия,0,Боливия,68,BOL,BO,ISO 3166-2:BO,0,
Босна и Херцеговина,1,Босна и Херцеговина,70,BIH,BA,ISO 3166-2:BA,1,
Ботсвана,1,Ботсвана,72,BWA,BW,ISO 3166-2:BW,0,
Бразилия,1,Бразилия,76,BRA,BR,ISO 3166-2:BR,0,
Бруней,1,Бруней,96,BRN,BN,ISO 3166-2:BN,0,
Буркина Фасо,0,Буркина Фасо,854,BFA,BF,ISO 3166-2:BF,0,
Бурунди,0,Бурунди,108,BDI,BI,ISO 3166-2:BI,0,
Бутан,0,Бутан,64,BTN,BT,ISO 3166-2:BT,0,
Вануату,1,Вануату,548,VUT,VU,ISO 3166-2:VU,0,
Ватикана,1,Ватикан,336,VAT,VA,ISO 3166-2:VA,1,
Великобритания,1,Великобритания,826,GBR,GB,ISO 3166-2:GB,1,
Венецуела,1,Венецуела,862,VEN,VE,ISO 3166-2:VE,0,"Без виза, но с „туристическа карта”. „Туристическата карта” се получава от туристически оператор/авиопревозвач или на границата. Тя е валидна за еднократен престой до 90 дни."
Виетнам,0,Виетнам,704,VNM,VN,ISO 3166-2:VN,0,
Габон,0,Габон,266,GAB,GA,ISO 3166-2:GA,0,
Гамбия,0,Гамбия,270,GMB,GM,ISO 3166-2:GM,0,
Гана,0,Гана,288,GHA,GH,ISO 3166-2:GH,0,
Гватемала,1,Гватемала,320,GTM,GT,ISO 3166-2:GT,0,
"Гвинея, Екваториална",0,Екваториална Гвинея,226,GNQ,GQ,ISO 3166-2:GQ,0,
Гвиана,0,Гвиана,328,GUY,GY,ISO 3166-2:GY,0,
Гвинея- Бисау,0,Гвинея,324,GIN,GN,ISO 3166-2:GN,0,
Гвинея,0,Гвинея-Бисау,624,GNB,GW,ISO 3166-2:GW,0,
Германия,1,Германия,276,DEU,DE,ISO 3166-2:DE,1,
Гренада,1,Гренада,308,GRD,GD,ISO 3166-2:GD,0,
Грузия,1,Грузия,268,GEO,GE,ISO 3166-2:GE,0,"До 360 дни. За престой повече от 360 дни е задължително получаването на виза, което може да стане във всяко териториално подразделение на Агенцията за гражданския регистър при Министерството на правосъдието на Грузия."
Гърция,1,Гърция,300,GRC,GR,ISO 3166-2:GR,1,
Дания,1,Дания,208,DNK,DK,ISO 3166-2:DK,1,
Джибути,0,Джибути,262,DJI,DJ,ISO 3166-2:DJ,0,
Доминика,1,Доминика,212,DMA,DM,ISO 3166-2:DM,0,
Доминиканска Република,1,Доминиканска република,214,DOM,DO,ISO 3166-2:DO,0,"Без виза, но с „туристическа карта”. „Туристическата карта” се получава (купува) от посолствата на Доминиканската Република (може и на границата, но не се препоръчва), срещу заплащане на такса. Тя е валидна 30 дни, считано от датата на влизане в Доминиканската Република."
Египет,0,Египет,818,EGY,EG,ISO 3166-2:EG,0,
Ел Салвадор,1,Салвадор,222,SLV,SV,ISO 3166-2:SV,0,
Еквадор,1,Еквадор,218,ECU,EC,ISO 3166-2:EC,0,"Без виза до 90 дни само при пътуване с туристическа цел. За престой над 90 дни или пътуване с цел, различна от туризъм, е необходима виза"
Еритрея,0,Еритрея,232,ERI,ER,ISO 3166-2:ER,0,
Естония,1,Естония,233,EST,EE,ISO 3166-2:EE,1,
Етиопия,0,Етиопия,231,ETH,ET,ISO 3166-2:ET,0,
Замбия,0,Замбия,894,ZMB,ZM,ISO 3166-2:ZM,0,
Зимбабве,0,Зимбабве,716,ZWE,ZW,ISO 3166-2:ZW,0,
Израел,1,Израел,376,ISR,IL,ISO 3166-2:IL,0,
Индия,0,Индия,356,IND,IN,ISO 3166-2:IN,0,
Индонезия,0,Индонезия,360,IDN,ID,ISO 3166-2:ID,0,Без визи за престой до 30 дни с цел туризъм.
Иран,0,Иран,364,IRN,IR,ISO 3166-2:IR,0,
Ирак,0,Ирак,368,IRQ,IQ,ISO 3166-2:IQ,0,
