iso_a2,visa_free,evisa,visa_on_arrival,requires_visa
AF,0,0,0,1
AL,1,0,0,0
DZ,0,0,0,1
AD,1,0,0,0
AO,0,0,0,1
AG,1,0,0,0
AR,1,0,0,0
AM,1,0,0,0
AU,0,0,0,1
AT,1,0,0,0
AZ,0,0,0,1
BS,1,0,0,0
BH,0,0,1,0
BD,0,0,1,0
BB,1,0,0,0
BY,1,0,0,0
BE,1,0,0,0
BZ,1,0,0,0
BJ,0,0,0,1
BT,0,0,0,1
BO,0,0,1,0
BA,1,0,0,0
BW,1,0,0,0
BR,1,0,0,0
BN,1,0,0,0
BG,0,0,0,1
BF,0,0,0,1
BI,0,0,0,1
KH,0,0,1,0
CM,0,0,0,1
CA,0,0,0,1
CV,0,0,1,0
CF,0,0,0,1
TD,0,0,0,1
CL,1,0,0,0
CN,0,0,0,1
CO,1,0,0,0
KM,0,0,1,0
CG,0,0,0,1
CD,0,0,0,1
CR,1,0,0,0
CI,0,0,1,0
HR,1,0,0,0
CU,0,0,0,1
CY,1,0,0,0
CZ,1,0,0,0
DK,1,0,0,0
DJ,0,0,1,0
DM,1,0,0,0
DO,1,0,0,0
EC,1,0,0,0
EG,0,0,1,0
SV,1,0,0,0
GQ,0,0,0,1
ER,0,0,0,1
EE,1,0,0,0
ET,0,0,0,1
FJ,1,0,0,0
FI,1,0,0,0
FR,1,0,0,0
GA,0,0,0,1
GM,1,0,0,0
GE,1,0,0,0
DE,1,0,0,0
GH,0,0,0,1
GR,1,0,0,0
GD,1,0,0,0
GT,1,0,0,0
GN,0,0,0,1
GW,0,0,1,0
GY,0,0,0,1
HT,1,0,0,0
HN,1,0,0,0
HK,1,0,0,0
HU,1,0,0,0
IS,1,0,0,0
IN,0,1,0,0
ID,1,0,0,0
IR,0,0,1,0
IQ,0,0,0,1
IE,1,0,0,0
IL,1,0,0,0
IT,1,0,0,0
JM,0,0,1,0
JP,1,0,0,0
JO,0,0,1,0
KZ,1,0,0,0
KE,0,0,1,0
KI,1,0,0,0
XK,1,0,0,0
KW,0,0,1,0
KG,0,0,1,0
LA,0,0,1,0
LV,1,0,0,0
LB,0,0,1,0
LS,0,0,0,1
LR,0,0,0,1
LY,0,0,0,1
LI,1,0,0,0
LT,1,0,0,0
LU,1,0,0,0
MO,1,0,0,0
MK,1,0,0,0
MG,0,0,1,0
MW,0,0,1,0
MY,1,0,0,0
MV,0,0,1,0
ML,0,0,0,1
MT,1,0,0,0
MH,1,0,0,0
MR,0,0,1,0
MU,1,0,0,0
MX,1,0,0,0
FM,1,0,0,0
MD,1,0,0,0
MC,1,0,0,0
MN,0,0,0,1
ME,1,0,0,0
MA,1,0,0,0
MZ,0,0,1,0
MM,0,0,0,1
NA,0,0,0,1
NR,0,0,0,1
NP,0,0,1,0
NL,1,0,0,0
NZ,1,0,0,0
NI,1,0,0,0
NE,0,0,0,1
NG,0,0,0,1
KP,0,0,0,1
NO,1,0,0,0
OM,0,0,1,0
PK,0,0,0,1
PW,1,0,0,0
PS,1,0,0,0
PA,1,0,0,0
PG,0,0,1,0
PY,1,0,0,0
PE,1,0,0,0
PH,1,0,0,0
PL,1,0,0,0
PT,1,0,0,0
QA,1,0,0,0
RO,1,0,0,0
RU,0,0,0,1
RW,0,0,0,1
KN,1,0,0,0
LC,1,0,0,0
WS,1,0,0,0
SM,1,0,0,0
ST,1,0,0,0
SA,0,0,0,1
SN,1,0,0,0
RS,1,0,0,0
SC,0,0,1,0
SL,0,0,0,1
SG,1,0,0,0
SK,1,0,0,0
SI,1,0,0,0
SB,1,0,0,0
SO,0,0,0,1
ZA,0,0,0,1
KR,1,0,0,0
SS,0,0,0,1
ES,1,0,0,0
LK,0,1,0,0
VC,1,0,0,0
SD,0,0,0,1
SR,0,0,0,1
SZ,0,0,0,1
SE,1,0,0,0
CH,1,0,0,0
SY,0,0,0,1
TW,1,0,0,0
TJ,0,0,0,1
TZ,0,0,1,0
TH,0,0,1,0
TL,1,0,0,0
TG,0,0,1,0
TO,1,0,0,0
TT,1,0,0,0
TN,1,0,0,0
TR,1,0,0,0
TM,0,0,0,1
TV,1,0,0,0
UG,0,0,1,0
UA,1,0,0,0
AE,1,0,0,0
GB,1,0,0,0
US,0,0,0,1
UY,1,0,0,0
UZ,0,0,0,1
VU,1,0,0,0
VA,1,0,0,0
VE,1,0,0,0
VN,0,0,0,1
YE,0,0,0,1
ZM,0,0,1,0
ZW,0,0,0,1
